imdb_id,title,runtime,overview,rated,imdb_votes,popularity,imdb_rating,rotten_tomatoes_rating,metacritic_rating,budget,revenue,financial_success,star_1,star_2,star_3,genre_1,genre_2,genre_3,director_1,director_2,release_year,outcome
tt11084896,Spirit Untamed,88 min,Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,PG,"4,831",31.985,5.5,47.0,49.0,30000000,17635215,False,Isabela Merced, Marsai Martin, Mckenna Grace,Animation, Adventure, Comedy,Elaine Bogan, Ennio Torresan,2021,False
tt1929263,Heaven Is for Real,99 min,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",PG,"28,825",31.97,5.8,51.0,47.0,12000000,101300000,True,Greg Kinnear, Kelly Reilly, Thomas Haden Church,Biography, Drama, Family,Randall Wallace,,2014,False
tt2177771,The Monuments Men,118 min,"Based on the true story of the greatest treasure hunt in history, The Monuments Men is an action drama focusing on seven over-the-hill, out-of-shape museum directors, artists, architects, curators, and art historians who went to the front lines of WWII to rescue the world’s artistic masterpieces from Nazi thieves and return them to their rightful owners.  With the art hidden behind enemy lines, how could these guys hope to succeed?",PG-13,"142,974",31.968,6.1,31.0,52.0,70000000,154984035,True,George Clooney, Matt Damon, Bill Murray,Comedy, Drama, War,George Clooney,,2014,False
tt22777288,Mutt,87 min,"Over the course of a single hectic day in New York City, three people from Feña's past are thrust back into his life: his foreign father, his straight ex-boyfriend, and his 13-year old half-sister. Having lost touch since transitioning from female to male, Feña must navigate the new dynamics of these old relationships while tackling the day-to-day challenges that come with living a life in-between.",N/A,"1,076",31.952,6.3,89.0,73.0,0,0,False,Lio Mehiel, Cole Doman, MiMi Ryder,Drama,,,Vuk Lungulov-Klotz,,2023,False
tt2203939,The Other Woman,109 min,"After discovering her boyfriend is married, Carly soon meets the wife he's been cheating on. And when yet another affair is discovered, all three women team up to plot mutual revenge on the three-timing SOB.",PG-13,"152,099",31.926,6.0,26.0,39.0,40000000,196800000,True,Cameron Diaz, Leslie Mann, Kate Upton,Comedy, Romance,,Nick Cassavetes,,2014,False
tt0112642,Casper,100 min,"Casper is a kind young ghost who peacefully haunts a mansion in Maine. When specialist James Harvey arrives to communicate with Casper and his fellow spirits, he brings along his teenage daughter, Kat. Casper quickly falls in love with Kat, but their budding relationship is complicated not only by his transparent state, but also by his troublemaking apparition uncles and their mischievous antics.",PG,"148,164",31.281,6.2,52.0,49.0,50000000,287928194,True,Bill Pullman, Christina Ricci, Cathy Moriarty,Comedy, Family, Fantasy,Brad Silberling,,1995,False
tt5109784,mother!,121 min,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",R,"252,587",27.285,6.6,68.0,76.0,30000000,44516999,True,Jennifer Lawrence, Javier Bardem, Ed Harris,Drama, Horror, Mystery,Darren Aronofsky,,2017,True
tt0263757,Uptown Girls,92 min,"Molly Gunn, the freewheeling daughter of a deceased rock legend, is forced to get a job when her manager steals her money. As nanny for precocious Ray, the oft ignored daughter of a music executive she learns what it means to be an adult while teaching Ray how to be a child.",PG-13,"44,303",31.845,6.2,13.0,33.0,20000000,44600000,True,Brittany Murphy, Dakota Fanning, Heather Locklear,Comedy, Drama, Romance,Boaz Yakin,,2003,False
tt3195644,Insidious: Chapter 3,97 min,"A twisted new tale of terror begins for a teenage girl and her family, and revealing more mysteries of the otherworldly realm, 'The Further'.",PG-13,"120,249",31.843,6.1,56.0,52.0,10000000,112983889,True,Dermot Mulroney, Stefanie Scott, Angus Sampson,Horror, Mystery, Thriller,Leigh Whannell,,2015,False
tt1137450,Death Wish,107 min,A mild-mannered father is transformed into a killing machine after his family is torn apart by a violent act.,R,"77,496",28.031,6.3,18.0,31.0,30000000,34017028,True,Bruce Willis, Vincent D'Onofrio, Elisabeth Shue,Action, Crime, Drama,Eli Roth,,2018,False
tt0207201,What Women Want,127 min,"Advertising executive Nick Marshall is as cocky as they come, but what happens to a chauvinistic guy when he can suddenly hear what women are thinking? Nick gets passed over for a promotion, but after an accident enables him to hear women's thoughts, he puts his newfound talent to work against Darcy, his new boss, who seems to be infatuated with him.",PG-13,"224,539",29.525,6.4,54.0,47.0,70000000,374100000,True,Mel Gibson, Helen Hunt, Marisa Tomei,Comedy, Fantasy, Romance,Nancy Meyers,,2000,False
